2020-03-09,Karnataka,1,0,0,15.3173,75.7139,0,1
2020-03-10,Karnataka,4,0,0,15.3173,75.7139,0,4
2020-03-11,Karnataka,4,0,0,15.3173,75.7139,0,4
2020-03-12,Karnataka,4,0,0,15.3173,75.7139,1,4
2020-03-13,Karnataka,5,0,0,15.3173,75.7139,1,5
2020-03-14,Karnataka,6,0,0,15.3173,75.7139,1,6
2020-03-15,Karnataka,6,0,0,15.3173,75.7139,1,6
2020-03-16,Karnataka,6,0,0,15.3173,75.7139,1,6
2020-03-17,Karnataka,11,0,0,15.3173,75.7139,1,11
2020-03-18,Karnataka,11,0,0,15.3173,75.7139,1,11
2020-03-19,Karnataka,14,0,0,15.3173,75.7139,1,14
2020-03-20,Karnataka,15,0,0,15.3173,75.7139,1,15
2020-03-21,Karnataka,15,0,1,15.3173,75.7139,1,15
2020-03-22,Karnataka,26,0,2,15.3173,75.7139,1,26
2020-03-23,Karnataka,33,0,2,15.3173,75.7139,1,33
2020-03-24,Karnataka,37,0,3,15.3173,75.7139,1,37
2020-03-25,Karnataka,41,0,3,15.3173,75.7139,1,41
2020-03-26,Karnataka,55,0,3,15.3173,75.7139,2,55
2020-03-27,Karnataka,55,0,3,15.3173,75.7139,2,55
2020-03-28,Karnataka,55,0,3,15.3173,75.7139,2,55
2020-03-29,Karnataka,76,0,5,15.3173,75.7139,3,76
2020-03-30,Karnataka,0,0,5,15.3173,75.7139,3,80
2020-03-31,Karnataka,0,0,5,15.3173,75.7139,3,83
2020-04-01,Karnataka,0,0,8,15.3173,75.7139,3,101
2020-04-02,Karnataka,0,0,9,15.3173,75.7139,3,110
2020-04-03,Karnataka,0,0,10,15.3173,75.7139,3,124
2020-04-04,Karnataka,0,0,12,15.3173,75.7139,3,128
2020-04-05,Karnataka,0,0,12,15.3173,75.7139,4,144
