Date,Kerala,Delhi,Telengana,Haryana,Rajasthan,Uttar Pradesh,Tamil Nadu,Union Territory of Ladakh,Karnataka,Maharashtra,Punjab,Union Territory of Jammu and Kashmir,Andhra Pradesh,Uttarakhand,Odisha,Puducherry,West Bengal,Chhattisgarh,Union Territory of Chandigarh,Gujarat,Chandigarh,Himachal Pradesh,Jammu and Kashmir,Ladakh,Madhya Pradesh,Bihar,Manipur,Mizoram,Andaman and Nicobar Islands,Goa,Assam,Jharkhand,Arunachal Pradesh,Tripura,Meghalaya,Dadar Nagar Haveli,Sikkim,Nagaland
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,0,1,0,0,0,0,1,0,2,3,1,0,0,0,0,0,1,0,0,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,0,1,0,0,0,0,1,0,2,4,1,0,0,0,0,0,1,0,0,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,0,1,0,0,0,0,1,0,2,5,1,0,0,0,0,0,1,0,0,3,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,1,2,1,0,0,0,1,0,3,6,1,0,0,0,0,0,1,0,0,4,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,1,2,1,0,0,0,1,0,3,8,1,0,0,0,0,0,1,0,0,5,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,1,2,1,0,0,0,1,0,3,9,3,0,0,0,0,0,2,0,0,6,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,2,2,3,0,0,2,1,0,3,9,3,0,0,0,0,0,0,0,0,6,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,2,2,3,0,0,2,1,0,3,13,4,0,1,0,0,0,0,0,0,6,0,1,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,2,4,3,0,0,2,1,0,3,16,4,0,1,0,0,0,3,0,0,7,0,1,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,2,6,7,0,0,2,1,0,3,19,5,0,1,0,0,0,3,0,0,9,0,1,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,2,6,7,0,0,2,3,0,4,24,5,0,1,0,0,0,3,0,0,10,0,1,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,2,7,7,1,0,2,5,0,4,45,6,0,3,0,0,0,3,0,0,11,0,1,2,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,2,7,7,1,3,3,5,0,4,45,6,0,3,0,0,0,3,0,0,12,0,1,2,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,2,9,7,3,3,3,7,0,4,64,7,0,4,0,1,0,5,0,0,13,0,1,2,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,2,9,7,3,3,4,8,0,5,72,8,0,4,0,1,0,5,0,0,16,0,1,4,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,2,12,7,3,3,4,8,0,5,97,8,0,4,0,1,0,5,0,0,17,0,1,4,0,16,1,0,0,0,0,0,1,0,0,0,0,0,0
2020-04-11,2,13,7,3,3,4,8,0,6,110,11,0,6,0,1,0,5,0,0,19,0,1,4,0,33,1,0,0,0,0,1,1,0,0,0,0,0,0
2020-04-12,2,19,9,3,3,5,10,0,6,127,11,0,6,0,1,0,5,0,0,22,0,1,4,0,36,1,0,0,0,0,1,1,0,0,0,0,0,0
2020-04-13,2,24,9,3,3,5,11,0,6,149,11,0,7,0,1,0,7,0,0,25,0,1,4,0,36,1,0,0,0,0,1,2,0,0,0,0,0,0
2020-04-14,3,28,17,3,3,5,11,0,9,160,12,0,9,0,1,0,7,0,0,26,0,1,4,0,50,1,0,0,0,0,1,2,0,0,0,0,0,0
2020-04-15,3,30,17,3,3,5,12,0,10,178,12,0,9,0,1,0,7,0,0,28,0,1,4,0,50,1,0,0,0,0,1,2,0,0,0,0,0,0
2020-04-16,3,32,18,3,3,11,14,0,12,187,13,0,14,0,1,0,7,0,0,33,0,1,4,0,53,1,0,0,0,0,1,2,0,0,1,0,0,0
2020-04-17,3,38,18,3,11,14,15,0,13,194,13,0,14,0,1,0,10,0,0,38,0,1,4,0,57,1,0,0,0,0,1,2,0,0,1,0,0,0
2020-04-18,3,42,18,3,11,14,15,0,13,201,13,0,14,0,1,0,10,0,0,41,0,1,5,0,69,2,0,0,0,0,1,2,0,0,1,0,0,0
2020-04-19,3,42,18,3,11,14,15,0,14,211,13,0,15,0,1,0,12,0,0,53,0,1,5,0,70,2,0,0,0,0,1,2,0,0,1,0,0,0
2020-04-20,3,45,18,3,14,17,15,0,16,223,16,0,15,0,1,0,12,0,0,63,0,1,5,0,70,2,0,0,0,0,1,2,0,0,1,0,0,0
2020-04-21,3,47,23,3,25,18,17,0,16,232,16,0,20,0,1,0,12,0,0,71,0,1,5,0,74,2,0,0,0,0,1,2,0,0,1,0,0,0
2020-04-22,3,47,23,3,25,20,18,0,17,251,16,0,22,0,1,0,15,0,0,90,0,1,5,0,76,2,0,0,0,0,1,3,0,0,1,0,0,0
2020-04-23,3,48,23,3,27,21,18,0,17,269,16,0,24,0,1,0,15,0,0,103,0,1,5,0,80,2,0,0,0,0,1,3,0,0,1,0,0,0
2020-04-24,3,50,24,3,27,24,20,0,17,283,16,0,27,0,1,0,15,0,0,112,0,1,5,0,83,2,0,0,0,0,1,3,0,0,1,0,0,0
2020-04-25,3,53,26,3,27,25,22,0,18,301,17,0,29,0,1,0,18,0,0,127,0,1,5,0,92,2,0,0,0,0,1,3,0,0,1,0,0,0
2020-04-26,4,54,26,3,33,29,23,0,18,323,17,0,31,0,1,0,18,0,0,133,0,1,6,0,99,2,0,0,0,0,1,3,0,0,1,0,0,0
2020-04-27,4,54,26,3,33,29,24,0,19,342,18,0,31,0,1,0,20,0,0,151,0,1,6,0,103,2,0,0,0,0,1,3,0,0,1,0,0,0
2020-04-28,4,54,26,3,46,31,24,0,20,369,18,0,31,0,1,0,20,0,0,162,0,1,7,0,110,2,0,0,0,0,1,3,0,0,1,0,0,0
2020-04-29,4,54,26,3,51,34,25,0,20,400,19,0,31,0,1,0,22,0,0,181,0,1,8,0,120,2,0,0,0,0,1,3,0,0,1,0,0,0
2020-04-30,4,56,26,3,51,39,27,0,21,432,19,0,31,0,1,0,22,0,0,197,0,1,8,0,129,2,0,0,0,0,1,3,0,0,1,0,0,0
2020-05-01,4,59,26,3,58,39,27,0,21,459,19,0,31,0,1,0,33,0,0,214,0,1,8,0,137,2,0,0,0,0,1,3,0,0,1,0,0,0
2020-05-02,4,61,26,4,62,42,28,0,22,485,19,0,33,0,1,0,33,0,0,236,0,1,8,0,145,3,0,0,0,0,1,3,0,0,1,0,0,0
2020-05-03,4,64,28,4,65,43,29,0,25,521,20,0,33,0,1,0,33,0,0,262,0,1,8,0,151,4,0,0,0,0,1,3,0,0,1,0,0,0
2020-05-04,4,64,29,5,71,43,30,0,25,548,21,0,33,0,1,0,35,0,0,290,0,1,8,0,156,4,0,0,0,0,1,3,0,0,1,0,0,0
2020-05-05,4,64,29,6,77,50,31,0,27,583,23,0,36,1,1,0,133,0,0,319,1,1,8,0,165,4,0,0,0,0,1,3,0,0,1,0,0,0
2020-05-06,4,64,29,6,89,56,33,0,29,617,25,0,36,1,1,0,140,0,0,368,1,2,8,0,176,4,0,0,0,0,1,3,0,0,1,0,0,0
2020-05-07,4,65,29,7,92,60,35,0,29,651,27,0,36,1,2,0,144,0,0,396,1,2,8,0,185,4,0,0,0,0,1,3,0,0,1,0,0,0
2020-05-08,4,66,29,7,97,62,37,0,30,694,28,0,38,1,2,0,151,0,0,425,1,2,9,0,193,5,0,0,0,0,1,3,0,0,1,0,0,0
2020-05-09,4,68,29,8,101,66,40,0,30,731,29,0,41,1,2,0,160,0,0,449,1,2,9,0,200,5,0,0,0,0,1,3,0,0,1,0,0,0
2020-05-10,4,73,30,9,106,74,44,0,30,779,31,0,44,1,2,0,171,0,0,472,2,2,9,0,215,5,0,0,0,0,2,3,0,0,1,0,0,0
2020-05-11,4,73,30,10,107,74,47,0,31,832,31,0,45,1,3,0,185,0,0,493,2,2,9,0,215,6,0,0,0,0,2,3,0,0,1,0,0,0
2020-05-12,4,73,30,11,113,80,53,0,31,868,31,0,45,1,3,0,190,0,0,513,2,2,10,0,221,6,0,0,0,0,2,3,0,0,1,0,0,0
2020-05-13,4,86,32,11,117,82,61,0,31,921,32,0,46,1,3,1,198,0,0,537,3,2,10,0,225,6,0,0,0,0,2,3,0,0,1,0,0,0
2020-05-14,4,106,34,11,121,83,64,0,33,975,32,0,47,1,3,1,207,0,0,566,3,2,11,0,232,7,0,0,0,0,2,3,0,0,1,0,0,0
2020-05-15,4,115,34,11,125,88,66,0,35,1019,32,0,48,1,3,1,215,0,0,586,3,2,11,0,237,7,0,0,0,0,2,3,0,0,1,0,0,0
2020-05-16,4,123,34,11,125,95,71,0,36,1068,32,0,48,1,3,1,225,0,0,606,3,3,11,0,239,7,0,0,0,0,2,3,0,0,1,0,0,0
2020-05-17,4,129,34,13,126,104,74,0,36,1135,32,0,49,1,3,1,232,0,0,625,3,3,12,0,243,7,0,0,0,0,2,3,0,0,1,0,0,0
2020-05-18,4,160,34,14,131,104,78,0,37,1198,35,0,50,1,4,1,238,0,0,659,3,3,13,0,248,8,0,0,0,0,2,3,0,0,1,0,0,0
2020-05-19,4,168,35,14,138,118,81,0,37,1249,37,0,50,1,4,1,244,0,0,694,3,3,15,0,252,9,0,0,0,0,2,3,0,0,1,0,0,0
2020-05-20,4,168,38,14,143,123,84,0,40,1325,38,0,52,1,5,1,250,0,0,719,3,3,17,0,258,9,0,0,0,0,4,3,0,0,1,0,0,0
2020-05-21,4,176,40,14,147,127,87,0,41,1390,38,0,53,1,6,0,253,0,0,749,3,3,18,0,267,10,0,0,0,0,4,3,0,0,1,0,0,0
2020-05-22,4,194,45,15,151,138,94,0,41,1454,39,0,53,1,7,0,259,0,0,773,3,3,20,0,270,11,0,0,0,0,4,3,0,0,1,0,0,0
2020-05-23,4,208,45,16,153,152,98,0,41,1517,39,0,55,1,7,0,265,0,0,802,3,3,20,0,272,11,0,0,0,0,4,3,0,0,1,0,0,0
2020-05-24,4,231,49,16,160,155,103,0,42,1577,39,0,56,2,7,0,269,0,0,829,3,3,21,0,281,11,0,0,0,0,4,4,0,0,1,0,0,0
2020-05-25,4,261,53,16,163,161,111,0,42,1635,40,0,56,3,7,0,272,0,0,858,3,3,21,0,290,13,0,0,0,0,4,4,0,0,1,0,0,0
2020-05-26,5,276,56,16,167,165,118,0,44,1695,40,0,56,3,7,0,278,0,0,888,3,5,23,0,300,13,0,0,0,0,4,4,0,0,1,0,0,0
2020-05-27,6,288,57,17,170,170,127,0,44,1792,40,0,57,4,7,0,283,0,0,915,4,5,24,0,305,13,0,0,0,0,4,4,0,0,1,0,0,0
2020-05-28,7,303,63,18,173,182,133,0,47,1897,40,0,58,4,7,0,289,0,0,938,4,5,26,0,313,15,0,0,0,0,4,4,0,0,1,0,0,0
2020-05-29,7,316,67,19,180,197,145,0,47,1982,40,0,59,4,7,0,295,0,0,960,4,5,27,0,321,15,0,0,0,0,4,4,0,0,1,0,0,0
2020-05-30,8,398,71,19,184,198,154,0,48,2098,42,0,60,5,7,0,302,1,0,980,4,5,28,0,334,15,0,0,0,0,4,5,0,0,1,0,0,0
2020-05-31,9,416,77,20,193,201,160,0,48,2197,44,0,60,5,7,0,309,1,0,1007,4,5,28,0,343,20,0,0,0,0,4,5,0,0,1,0,0,0
2020-06-01,9,473,82,20,194,213,173,0,51,2286,45,0,62,5,7,0,317,1,0,1038,4,5,28,0,350,21,0,0,0,0,4,5,0,0,1,0,0,0
2020-06-02,10,523,88,21,198,217,184,0,52,2362,45,0,64,6,7,0,325,1,0,1063,4,5,31,0,358,24,0,0,0,0,4,5,0,0,1,0,0,0
2020-06-03,11,556,92,23,203,222,197,0,52,2465,46,0,64,7,7,0,335,1,0,1092,5,5,33,1,364,24,0,0,0,0,4,5,0,0,1,0,0,0
2020-06-04,11,606,99,23,209,229,208,0,53,2587,47,0,68,8,7,0,345,2,0,1122,5,5,34,1,371,25,0,0,0,0,4,5,0,0,1,0,0,0
2020-06-05,14,650,105,24,213,245,220,0,57,2710,47,0,71,10,7,0,355,2,0,1155,5,5,35,1,377,29,0,0,0,0,4,6,0,0,1,0,0,0
